"regionID","constellationID","solarSystemID","solarSystemName","x","y","z","xMin","xMax","yMin","yMax","zMin","zMax","luminosity","border","fringe","corridor","hub","international","regional","constellation","security","factionID","radius","sunTypeID","securityClass"
10000001,20000001,30000001,"Tanoo","-8.851079259998058e+16","4.236944396687888e+16","-4.4513525346479664e+16","-8.851190314849059e+16","-8.850925647176062e+16","4.236929792748907e+16","4.236964574926392e+16","4.4513036355892816e+16","4.451411168978288e+16","0.01575",True,False,False,True,True,True,NULL,"0.8583240688484681",500007,"1323338364984",45041,"B"
10000001,20000001,30000002,"Lashesih","-1.0330096826312646e+17","4.1707503568269944e+16","-2.9856304129795088e+16","-1.0330156508982766e+17","-1.0329952828984021e+17","4.1707467566727784e+16","4.170759041342664e+16","2.985617328250696e+16","2.9856912011988012e+16","0.01282",True,False,True,False,True,True,NULL,"0.7516891466979871",500007,"1018399993728",45037,"B"
10000001,20000001,30000003,"Akpivem","-9.117414113307534e+16","4.393822748624717e+16","-5.6482824383339904e+16","-9.117828736360346e+16","-9.117334063860518e+16","4.3938185719395264e+16","4.393844419338044e+16","5.648126753791048e+16","5.6483655715390536e+16","0.6213",True,False,False,True,False,False,NULL,"0.8462923524267263",500007,"2473362499136",3799,"B"
10000001,20000001,30000004,"Jark","-9.367592635217893e+16","5.060424496232891e+16","-2.8403529106921656e+16","-9.367738208504472e+16","-9.367548615089662e+16","5.0604201734808696e+16","5.0604387914744944e+16","2.8403308300704916e+16","2.8406851125344312e+16","0.3461",True,False,True,False,True,True,NULL,"0.8170005312287265",500007,"1771412319698",45030,"B"
10000001,20000001,30000005,"Sasta","-9.47821579619976e+16","4.3126247352903336e+16","-3.1896707679917976e+16","-9.478286624153549e+16","-9.477773834882366e+16","4.3126190605720824e+16","4.312659763673881e+16","3.1892607357474004e+16","3.1896947011688972e+16","0.02403",True,False,False,True,False,False,NULL,"0.8143367281012338",500007,"2563946355912",45040,"B"
10000001,20000001,30000006,"Zaid","-8.479215113885622e+16","5.231345579817933e+16","-5.707393452988227e+16","-8.479377331532003e+16","-8.479030443144408e+16","5.2313243548626296e+16","5.2313642323673984e+16","5.7073253488129384e+16","5.707559122324587e+16","0.02324",True,False,True,False,False,False,NULL,"0.8642291533962844",500007,"1734441937976",45031,"B"
10000001,20000001,30000007,"Yuzier","-9.036750901311018e+16","5.3447700930943336e+16","-4.9040399037769856e+16","-9.036845558989771e+16","-9.03658609773416e+16","5.344758731919825e+16","5.344789849447612e+16","4.903983646331275e+16","4.904066984378296e+16","0.01469",False,False,False,True,False,False,NULL,"0.9065555104696007",500007,"1297306278056",3800,"B"
10000001,20000001,30000008,"Nirbhi","-9.157610353638848e+16","5.7332802739327744e+16","-5.5255057964526304e+16","-9.157953430226768e+16","-9.157434192525109e+16","5.733277589050188e+16","5.733281652273388e+16","5.5252219447897216e+16","5.5259653044695464e+16","0.03981",True,False,False,True,False,False,NULL,"0.8821157147630183",500007,"3716798399124",45039,"B"
10000001,20000002,30000009,"Sooma","-8.409473114021522e+16","6.920592880416069e+16","-7.522605213882882e+16","-8.409578248321309e+16","-8.409299529592806e+16","6.920592005071171e+16","6.9205943271846104e+16","7.522546405078149e+16","7.522913570933486e+16","0.01479",False,True,False,False,False,False,NULL,"0.5778194815632102",500007,"1835829276688",45039,"B1"
10000001,20000002,30000010,"Chidah","-8.058885652012075e+16","6.1645557287376784e+16","-7.977093166846189e+16","-8.059020781144422e+16","-8.058453928518488e+16","6.164537883063863e+16","6.164612743722404e+16","7.976919438115051e+16","7.977281022765478e+16","0.07498",False,False,False,True,False,False,NULL,"0.5390520130030887",500007,"2834263129672",8,"B1"
